symbol,company_name,industry,sector,city,latitude,longitude,state,country
VRSN,VeriSign Inc.,Software - Infrastructure,Technology,Reston,38.953282,-77.34645162,VA,United States
ERIE,Erie Indemnity Company,Insurance Brokers,Financial Services,Erie,42.1294712,-80.0852695,PA,United States
CMS,CMS Energy Corporation,Utilities - Regulated Electric,Utilities,Jackson,42.2416466,-84.425589,MI,United States
SMCI,Super Micro Computer Inc.,Computer Hardware,Technology,San Jose,37.3361663,-121.890591,CA,United States
PODD,Insulet Corporation,Medical Devices,Healthcare,Acton,42.4850931,-71.43284,MA,United States
ULTA,Ulta Beauty Inc.,Specialty Retail,Consumer Discretionary,Bolingbrook,41.7003302,-88.0717708,IL,United States
BLDR,Builders FirstSource Inc.,Building Products & Equipment,Industrials,Irving,32.8295183,-96.9442177,TX,United States
KEY,KeyCorp,Banks - Regional,Financial Services,Cleveland,41.4996574,-81.6936772,OH,United States
LUV,Southwest Airlines Co.,Airlines,Industrials,Dallas,32.7762719,-96.7968559,TX,United States
FSLR,First Solar Inc.,Solar,Technology,Tempe,33.4255117,-111.940016,AZ,United States
COO,The Cooper Companies Inc.,Medical Instruments & Supplies,Healthcare,San Ramon,37.7648021,-121.9544387,CA,United States
TRMB,Trimble Inc.,Scientific & Technical Instruments,Technology,Westminster,39.8366528,-105.0372046,CO,United States
INVH,Invitation Homes Inc.,REIT - Residential,Real Estate,Dallas,32.7762719,-96.7968559,TX,United States
PFG,Principal Financial Group Inc.,Asset Management,Financial Services,Des Moines,41.5868654,-93.6249494,IA,United States
JBL,Jabil Inc.,Electronic Components,Technology,Saint Petersburg,27.7700475,-82.6359078,FL,United States
EVRG,Evergy Inc.,Utilities - Regulated Electric,Utilities,Kansas City,39.100105,-94.5781416,MO,United States
STLD,Steel Dynamics Inc.,Steel,Materials,Fort Wayne,41.0799898,-85.1386015,IN,United States
ESS,Essex Property Trust Inc.,REIT - Residential,Real Estate,San Mateo,37.496904,-122.3330573,CA,United States
SNA,Snap-on Incorporated,Tools & Accessories,Industrials,Kenosha,42.5846773,-87.8212263,WI,United States
BBY,Best Buy Co. Inc.,Specialty Retail,Consumer Discretionary,Richfield,44.8766431,-93.2877877,MN,United States
L,Loews Corporation,Insurance - Property & Casualty,Financial Services,New York,40.7127281,-74.0060152,NY,United States
FDS,FactSet Research Systems Inc.,Financial Data & Stock Exchanges,Financial Services,Norwalk,41.1175966,-73.4078968,CT,United States
MAA,Mid-America Apartment Communities Inc.,REIT - Residential,Real Estate,Germantown,35.0867577,-89.8100858,TN,United States
J,Jacobs Solutions Inc.,Engineering & Construction,Industrials,Dallas,32.7762719,-96.7968559,TX,United States
ARE,Alexandria Real Estate Equities Inc.,REIT - Office,Real Estate,Pasadena,34.1476507,-118.144155,CA,United States
